genus,species,common_names,regions
Shorea,polysperma, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,quadrinervis, light red meranti,IDN;MYS;PHL;THA
Shorea,resina-nigra, yellow meranti,IDN;MYS;THA
Shorea,resinosa, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,revoluta, light red meranti,IDN;MYS;PHL;THA
Shorea,robusta,sal,
Shorea,roxburghii,balau yellow ; white meranti,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR;KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,rugosa,meranti bakau,
Shorea,sandakanensis, light red meranti,IDN;MYS;PHL;THA
Shorea,scrobiculata,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,seminis,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,sericeiflora, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,singkawang, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,smithiana, light red meranti,IDN;MYS;PHL;THA
Shorea,spp.,balau red ;balau yellow ; dark red meranti; light red meranti; white meranti; yellow meranti,IDN;MYS;PHL;THA;DEU;GBR;IND;IDN;MYS;MMR;PHL;THA;DEU;GBR;IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA;KHM;IDN;MYS;MMR;PHL;THA;VNM;IDN;MYS;THA
Shorea,stalura, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,submontana,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,sumatrana,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,superba,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,teysmanniana, light red meranti,IDN;MYS;PHL;THA
Shorea,uliginosa,meranti bakau,
Sideroxylon,altissimum,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Simarouba,amara,marupa,BOL;BRA;COL;ECU;GUF;GUY;PER;SUR;VEN;GBR
Sindora,affinis,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,coriacea,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,echinocalyx,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,parvifolia,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,siamensis,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,spp.,sepetir,KHM;IDN;MYS;PHL;THA
Sindora,velutina,sepetir,KHM;IDN;MYS;PHL;THA
Sindoropsis,letestui,gheombi,CMR;GAB
Siparuna,spp.,muniridan,
Spirostachys,africana,tamboti,
Spondias,mombin,mopé,
Staudtia,gabonensis,niové,AGO;CMR;CAF;GNQ;GAB;COD
Staudtia,kamerunensis,niové,AGO;CMR;CAF;GNQ;GAB;COD
Staudtia,stipitata,niové,AGO;CMR;CAF;GNQ;GAB;COD
Steganthus,welwitschii,loliondo,GBR
Sterculia,apetala,chicha / xixa ,BOL;BRA;COL;CUB;ECU;GUF;GUY;MEX;PER;PRI;SUR;TTO;VEN
Sterculia,oblonga,eyong,CMR;CAF;CIV;GNQ;GAB;GHA;NGA;GBR
Sterculia,rhinopetala,lotofa,CMR;CIV;GHA;NGA;GBR
Sterculia,spp.,chicha / xixa ,BOL;BRA;COL;CUB;ECU;GUF;GUY;MEX;PER;PRI;SUR;TTO;VEN
Sterculia,vitiensis,fijian sterculia,
Strombosia,glaucescens,afina,CIV;NGA
Strombosia,pustulata,afina,CIV;NGA
Swartzia,benthamiana,saboarana,GUY
Swartzia,fistuloides,pao rosa,CMR;COG;CIV;CAF;COD;GAB;MOZ;NGA
Swartzia,jorori,jorori,
Swartzia,leiocalycina,panacoco,BRA;GUF;GUY;SUR;DEU;GBR
Swartzia,madagascariensis,pao rosa,CMR;COG;CIV;CAF;COD;GAB;MOZ;NGA
Swietenia,candollei,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swietenia,humilis,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swietenia,krukovii,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swietenia,macrophylla,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swietenia,mahagoni,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swietenia,tessmannii,mahogany,BOL;BRA;COL;CUB;DOM;GTM;HTI;MEX;NIC;PER;VEN;FRA;ITA;NLD;ESP;GBR;USA
Swintonia,floribunda,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Swintonia,penangiana,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Swintonia,pierrei,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Swintonia,schwenkii,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Swintonia,spicifera,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Swintonia,spp.,merpauh,KHM;IND;MYS;MMR;PAK;VNM
Symphonia,globulifera,manil,BOL;BRA;COL;ECU;GUF;GUY;PER;SUR;TTO;VEN;USA
Syzygiopsis,pachycarpa,goiabao,BRA
Tabebuia,capitata,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Tabebuia,donnell-smithii,primavera,GBR
Tabebuia,impetiginosa,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Tabebuia,ipe,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Tabebuia,serratifolia,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Tapirira,guianensis,cedroi,GUY
Tapirira,spp.,cedroi,GUY
Taralea,oppositifolia,almendrillo,
Tarrietia,densiflora,niangon,CIV;GAB;GHA;LBR;SLE
Tarrietia,perakensis,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Tarrietia,spp.,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Tarrietia,utilis,niangon,CIV;GAB;GHA;LBR;SLE
Tectona,grandis,teak,IND;IDN;LAO;MMR;THA;VNM;FRA;DEU
Terminalia,amazonia,nargusta,BRA;COL;HND;MEX;PAN;VEN
Terminalia,catappa, brown terminalia,
Terminalia,complanata, yellow terminalia,
Terminalia,guyanensis,nargusta,BRA;COL;HND;MEX;PAN;VEN
Terminalia,ivorensis,framiré,CMR;CIV;GHA;LBR;NGA;SLE;GBR
Terminalia,longispicata, yellow terminalia,
Terminalia,sogerensis, yellow terminalia,
Terminalia,superba,limba,CMR;CAF;COG;CIV;GNQ;GHA;NGA;SLE;COD;FRA;USA
Terminalia,tomentosa, indian laurel,KHM;IDN;LAO;MMR;PHL;THA;VNM
Tessmannia,africana,wamba,
Tessmannia,claessensii,wamba,
Tessmannia,lescrauwaetii,wamba,
Testulea,gabonensis,izombé,CMR;COG;GAB
Tetraberlinia,bifoliolata,ekaba,CMR;COG;GNQ;GAB;LBR;DEU;NLD;ESP;GBR
Tetraberlinia,spp.,ekaba,CMR;COG;GNQ;GAB;LBR;DEU;NLD;ESP;GBR
Tetraberlinia,tubmaniana,ekaba,CMR;COG;GNQ;GAB;LBR;DEU;NLD;ESP;GBR
Tetragastris,spp.,sali,BRA;COL;GUF;GUY;NIC;PRI
Tetramerista,glabra,punah,IDN;MYS
Tieghemella,africana,douka (makoré),CIV;GHA;GNQ;GAB
Tieghemella,heckelii,douka (makoré),CIV;GHA;GNQ;GAB
Tieghemella,spp.,douka (makoré),CIV;GHA;GNQ;GAB
Tipuana,tipu,tipa,
Toona,australis,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Toona,calantas,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Toona,ciliata,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Toona,febrifuga,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Toona,sureni,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Trachylobium,verrucosum,mtandarusi,GBR
Trattinickia,spp.,breu-sucuruba,BRA
Trichilia,catigua,catiguà,
Triplaris,cumingiana,formigueiro,ECU
Triplaris,guayaquilensis,formigueiro,ECU
Triplochiton,scleroxylon,ayous (obéché),CMR;CAF;CIV;GNQ;GHA;NGA;FRA;DEU;GBR;USA
Turraeanthus,africana,avodiré,CIV;GHA;LBR;NGA;COD;BEL
Uapaca,guineensis,rikio,CMR;CIV;NGA
Uapaca,spp.,rikio,CMR;CIV;NGA
Vatairea,guianensis,arisauro,BRA
Vatairea,paraensis,faveira amargosa,BRA;COL;GUY;GUF;HND;PAN;PER;SUR
Vatica,spp.,resak,
Virola,spp.,virola,COL;ECU;GUF;GUY;HND;PER;SUR;TTO;VEN;GBR
Vitellaria,paradoxa,karité,
Vitex,ciliata,evino,
Vitex,pachyphylla,evino,
Vitex,parviflora,molave,IDN;PHL
Vochysia,guatemalensis,quaruba,GUY
Vochysia,schomburgkii,quaruba,GUY
Vochysia,spp.,quaruba,GUY
Vouacapoua,spp.,wacapou,BRA;GUY;SUR;GBR;USA
Warburgia,ugandensis,muziga,
Wulfhorstia,ekebergioides,mutaco,
Xylia,spp.,pyinkado,
Zanthoxylum,gilletii,olonvogo,
