sc_name,genus,species,family,common_names,regions,cites_flag,iucn_flag,wwf_high_risk_flag
Acianthus corniculatus,Acianthus,corniculatus,,,NCL,1,0,0
Acianthus cymbalariifolius,Acianthus,cymbalariifolius,,,NCL,1,0,0
Acianthus elegans,Acianthus,elegans,,,NCL,1,0,0
Acianthus exiguus,Acianthus,exiguus,,,AUS,1,0,0
Acianthus grandiflorus,Acianthus,grandiflorus,,,NCL,1,0,0
Acianthus heptadactylus,Acianthus,heptadactylus,,,NCL,1,0,0
Acianthus ledwardii,Acianthus,ledwardii,,,AUS,1,0,0
Acianthus macroglossus,Acianthus,macroglossus,,,NCL,1,0,0
Acianthus oxyglossus,Acianthus,oxyglossus,,,NCL,1,0,0
Acianthus sublestus,Acianthus,sublestus,,,AUS,1,0,0
Acianthus tenellus,Acianthus,tenellus,,,NCL,1,0,0
Acianthus tenuilabris,Acianthus,tenuilabris,,,NCL,1,0,0
Acianthus tenuissimus,Acianthus,tenuissimus,,,AUS,1,0,0
Acianthus uvarius,Acianthus,uvarius,,,NCL,1,0,0
Acianthus veillonis,Acianthus,veillonis,,,NCL,1,0,0
Acidocroton gentryi,Acidocroton,gentryi,,,,0,1,0
Acidocroton verrucosus,Acidocroton,verrucosus,,,,0,1,0
Acineta alticola,Acineta,alticola,,,BRA;VEN;GUY,1,0,0
Acineta antioquiae,Acineta,antioquiae,,,COL,1,0,0
Acineta barkeri,Acineta,barkeri,,,SLV;MEX;GTM,1,0,0
Acineta beyrodtiana,Acineta,beyrodtiana,,,COL,1,0,0
Acineta chrysantha,Acineta,chrysantha,,,CRI;SLV;COL;PAN,1,0,0
Acineta confusa,Acineta,confusa,,,,1,0,0
Acineta cryptodonta,Acineta,cryptodonta,,,COL,1,0,0
Acineta dalessandroi,Acineta,dalessandroi,,,,1,0,0
Acineta densa,Acineta,densa,,,CRI,1,0,0
Acineta erythroxantha,Acineta,erythroxantha,,,CRI;MEX;COL,1,0,0
Acineta hennisiana,Acineta,hennisiana,,,COL,1,0,0
Acineta hrubyana,Acineta,hrubyana,,,COL,1,0,0
Acineta sella-turcica,Acineta,sella-turcica,,,CRI;COL;PAN,1,0,0
Acineta sulcata,Acineta,sulcata,,,,1,0,0
Acineta superba,Acineta,superba,,,SLV;ECU;SUR;COL;VEN;PAN,1,0,0
Aciotis aristellata,Aciotis,aristellata,,,,0,1,0
Aciotis asplundii,Aciotis,asplundii,,,,0,1,0
Acis autumnalis,Acis,autumnalis,,campainhas-do-outono;autumn snowflake,,0,1,0
Acis nicaeensis,Acis,nicaeensis,,,,0,1,0
