,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
37575,37576,Acacia ehrenbergiana,Leguminosae,Acacia,ehrenbergiana,,salam,,,,0.0
34571,34572,Acacia ensifolia,Leguminosae,Acacia,ensifolia,,,,,,0.0
37338,37339,Acacia eremophila,Leguminosae,Acacia,eremophila,,,,,,0.0
25967,25968,Acacia etilis,Leguminosae,Acacia,etilis,,,,,,1.0
34382,34383,Acacia euthyphylla,Leguminosae,Acacia,euthyphylla,,,,,,0.0
37517,37518,Acacia excelsa,Leguminosae,Acacia,excelsa,,rosewood;bunkerman;ironwood;doodlallie,,,,0.0
22370,22371,Acacia ferruginea,Leguminosae,Acacia,ferruginea,,,,,,1.0
34392,34393,Acacia fimbriata,Leguminosae,Acacia,fimbriata,,fringed wattle;brisbane golden wattle,,,,0.0
23216,23217,Acacia flagellaris,Leguminosae,Acacia,flagellaris,,warwar,,,,1.0
34536,34537,Acacia formidabilis,Leguminosae,Acacia,formidabilis,,,,,,0.0
22731,22732,Acacia furcatispina,Leguminosae,Acacia,furcatispina,,teatín;garabato blanco;tíntitaco;brea;tintitaco,,,,0.0
26649,26650,Acacia gaumeri,Leguminosae,Acacia,gaumeri,,,,,,0.0
38197,38198,Acacia gilliesii,Leguminosae,Acacia,gilliesii,,brea;tintitaco,,,,0.0
37973,37974,Acacia glaucocarpa,Leguminosae,Acacia,glaucocarpa,,,,,,0.0
34482,34483,Acacia gracilenta,Leguminosae,Acacia,gracilenta,,,,,,0.0
34401,34402,Acacia graniticola,Leguminosae,Acacia,graniticola,,,,,,0.0
34451,34452,Acacia hadrophylla,Leguminosae,Acacia,hadrophylla,,,,,,0.0
18788,18789,Acacia hebeclada chobiensis,Leguminosae,Acacia,hebeclada,chobiensis,,,,,0.0
18789,18790,Acacia hebeclada,Leguminosae,Acacia,hebeclada,,,,,,0.0
37978,37979,Acacia hecatophylla,Leguminosae,Acacia,hecatophylla,,long pod,,,,0.0
37230,37231,Acacia hilliana,Leguminosae,Acacia,hilliana,,hill's tabletop wattle,,,,0.0
34575,34576,Acacia hippuroides,Leguminosae,Acacia,hippuroides,,,,,,0.0
37877,37878,Acacia hirta,Leguminosae,Acacia,hirta,,,,,,1.0
34570,34571,Acacia homaloclada,Leguminosae,Acacia,homaloclada,,,,,,0.0
37693,37694,Acacia hydaspica,Leguminosae,Acacia,hydaspica,,,,,,0.0
34494,34495,Acacia imitans,Leguminosae,Acacia,imitans,,gibson wattle,,,,1.0
37945,37946,Acacia jacksonioides,Leguminosae,Acacia,jacksonioides,,,,,,1.0
37858,37859,Acacia jennerae,Leguminosae,Acacia,jennerae,,coonavittra wattle,,,,0.0
3,4,Acacia koa,Leguminosae,Acacia,koa,,koa;gray koa,,,0.0,0.0
19319,19320,Acacia koaia,Leguminosae,Acacia,koaia,,koai'a;koai'e;koa'oha,,,,1.0
34407,34408,Acacia lanigera,Leguminosae,Acacia,lanigera,,hairy wattle;woolly wattle,,,,0.0
38563,38564,Acacia latispina,Leguminosae,Acacia,latispina,,,,,,1.0
37533,37534,Acacia leucospira,Leguminosae,Acacia,leucospira,,,,,,0.0
34378,34379,Acacia linearifolia,Leguminosae,Acacia,linearifolia,,stringybark wattle;narrow-leaved wattle,,,,0.0
38176,38177,Acacia loderi,Leguminosae,Acacia,loderi,,nealie;broken hill gidgee;myall;nelia,,,,1.0
34381,34382,Acacia longipedunculata,Leguminosae,Acacia,longipedunculata,,,,,,0.0
4,5,Acacia mangium,Leguminosae,Acacia,mangium,,,,,0.0,
21143,21144,Acacia manubensis,Leguminosae,Acacia,manubensis,,xankokib;ankokib,,,,1.0
25720,25721,Acacia mathuataensis,Leguminosae,Acacia,mathuataensis,,,,,,1.0
5,6,Acacia mearnsii,Leguminosae,Acacia,mearnsii,,,,,0.0,
6,7,Acacia melanoxylon,Leguminosae,Acacia,melanoxylon,,,,,0.0,
34463,34464,Acacia melvillei,Leguminosae,Acacia,melvillei,,yarran,,,,0.0
37439,37440,Acacia menabeensis,Leguminosae,Acacia,menabeensis,,,,,,1.0
34391,34392,Acacia mitchellii,Leguminosae,Acacia,mitchellii,,mitchell's wattle,,,,0.0
34402,34403,Acacia mitodes,Leguminosae,Acacia,mitodes,,,,,,0.0
23217,23218,Acacia moggii,Leguminosae,Acacia,moggii,,,,,,0.0
