,id,genus,species,sub_species,main_common_name,other_common_names,status
24654,68002756,Rhopalocarpus,macrorhamnifolius,,,Havoha;Hafotrakora;Fanondambo;Sary,LC
24655,68002761,Crotalaria,leandriana,,,,EN
24656,91071449,Sorbus,lonetalensis,,,,CR
24657,68002779,Ecbolium,benoistii,,,,EN
24658,68002801,Micronychia,bemangidiensis,,,Rehika,EN
24659,68002803,Operculicarya,hyphaenoides,,,,EN
24660,68002823,Operculicarya,pachypus,,,,EN
24661,68002824,Abrus,madagascariensis,,,,NT
24662,86090771,Sorbus,busambarensis,,,,CR
24663,61503098,Cuscuta,acuta,,Parásita de Galápagos,Parásita de Galápagos,LC
24664,110076953,Phyllanthus,kidna,,,,CR
24665,61503114,Cuscuta,gymnocarpa,,Parásita de Galápagos,Parásita de Galápagos,LC
24666,162369,Centaurium,somedanum,,Centaura de Somiedo,Centaura de Somiedo,VU
24667,110077075,Ardisia,alabastro-alata,,,,VU
24668,87794901,Ophrys,fuciflora,,,Ofride di Lacaita,LC
24669,86091080,Sorbus,collina,,,,LC
24670,86091120,Sorbus,cordigastensis,,,Kordigast Mehlbeere,EN
24671,86091137,Sorbus,cucullifera,,,,CR
24672,19375494,Cercis,siliquastrum,,Judas Tree,Judas Tree,LC
24673,86091238,Sorbus,degenii,,,,VU
24674,86091262,Sorbus,doerriana,,,Dörrs Mehlbeere,EN
24675,86091285,Sorbus,dolomiticola,,,,EN
24676,86091382,Sorbus,evansii,,Evans's Whitebeam,Evans's Whitebeam,CR
24677,86091489,Sorbus,eximia,,,,EN
24678,61503245,Acalypha,parvula,,,,LC
24679,86091540,Sorbus,eystettensis,,,Eichstätter Mehlbeere,CR
24680,177837,Callerya,neocaledonica,,,,CR
24681,177838,Canavalia,favieri,,,,CR
24682,177839,Acropogon,calcicolus,,,,VU
24683,177840,Eugenia,sp.,,,,VU
24684,177841,Eugenia,sp.,,,,EN
24685,177842,Eugenia,sp.,,,,CR
24686,177843,Eugenia,sp.,,,,EN
24687,86091575,Sorbus,fischeri,,,Ries Mehlbeere;Fischer Mehlbeere,EN
24688,177844,Homalium,leratiorum,,,,VU
24689,86091602,Sorbus,gauckleri,,,Gaucklers Mehlbeere,CR
24690,86091612,Sorbus,gemella,,,,EN
24691,177852,Phyllanthus,unifoliatus,,,,EN
24692,177853,Piliocalyx,eugenioides,,,,EN
24693,177854,Limonium,calabrum,,,,CR
24694,177855,Pseuderanthemum,incisum,,,,VU
24695,177856,Limonium,sibthorpianum,,,,CR
24696,177857,Syzygium,pendulinum,,,,EN
24697,177858,Syzygium,poyanum,,,,VU
24698,86091653,Sorbus,greenii,,Green's Whitebeam,Green's Whitebeam,CR
24699,177859,Turbina,inopinata,,,,CR
24700,177860,Randia,pancheriana,,,,VU
24701,177861,Atractocarpus,platyxylon,,,,VU
24702,177862,Leopoldia,gussonei,,,,EN
