Clibadium alatum
Euphorbia kondoi
Illicium peninsulare
Citropsis gabunensis
Neottianthe camptoceras
Magnolia boliviana
Phyllostegia kaalaensis
Glycosmis chlorosperma
Semecarpus pubescens
Streptocarpus thysanotus
Gardenia transvenulosa
Magnolia poasana
Justicia mariae
Quercus hintonii
Sorbus herculis
Sphagnum novo-caledoniae
Merostachys rondoniensis
Astragalus maritimus
Howea forsteriana
Hydrotriche hottoniiflora
Cypripedium montanum
Amphidoxa demidium
Tectaria morlae
Abrus aureus
Ipomoea prismatosyphon
Knema hookerana
Howea belmoreana
Cupressus torulosa
Shorea gardneri
Mastigostyla candaravensis
Limonium perezii
Heliciopsis cockburnii
Aeranthes setipes
Parodia glaucina
Eriosyce calderana
Magnolia jaenensis
Pteleopsis barbosae
Dichapetalum letouzeyi
Calamus compsostachys
Hyophorbe lagenicaulis
Dennstaedtia macrosora
Cycas revoluta
Lasiocroton fawcettii
Macrozamia riedlei
Mammillaria herrerae
Globularia sarcophylla
Miconia vesca
Herpetacanthus delicatus
Populus pruinosa
Secamone racemosa
Meryta lucida
Fuchsia scherffiana
Pultenaea pinifolia
Brachyotum rotundifolium
Solanum asteropilodes
Coffea congensis
Weinmannia auriculata
Vismia pauciflora
Salacia lucida
Nectandra venulosa
Liquidambar integriloba
Mussaenda monticola
Pinus longaeva
Larnax andersonii
Anthurium sparreorum
Acharagma aguirreanum
Limosella aquatica
Miconia collayensis
Xyris angustifolia
Quercus carmenensis
Peniocereus castellae
Cinnadenia malayana
Salvia sprucei
Smithatris supraneanae
Rhaphiostylis ovatifolia
Stemonoporus reticulatus
Prunus tadzhikistanica
Streptocarpus burttianus
Nepenthes pervillei
Berberis papillosa
Phyllostemonodaphne geminiflora
Beilschmiedia zeylanica
Gentianella longibarbata
Phytelephas tumacana
Myrsine linearifolia
Podocarpus longefoliolatus
Bulbophyllum impar
Gladiolus horombensis
Trigonostemon arboreus
Verbesina barclayae
Rhaphiostylis subsessifolia
Coffea homollei
Aglaia rimosa
Memecylon teitense
Eriophorum virginicum
Camellia fleuryi
Ceratonia siliqua
Lebrunia bushaie
Polyscias tahitensis
Hatiora epiphylloides
Parochetus communis
Delonix regia
Hampea sphaerocarpa
Dendrobium hornei
Plectranthus scopulicola
Vaccinium bissei
Zamia dressleri
Joseanthus cuatrecasasii
Carex bulbostylis
Deinbollia nyasica
Asplenium dielerectum
Aspidostemon synandra
Chusquea falcata
Centaurea immanuelis-loewii
Dipterocarpus hispidus
Licania conferruminata
Dillwynia pungens
Pachycereus marginatus
Keteleeria davidiana
Mangifera hiemalis
Isoglossa candelabrum
Vatica rotata
Carpinus mengshanensis
Echinocereus salm-dyckianus
Calendula maritima
Coffea bridsoniae
Dicliptera quitensis
Chrysophyllum acreanum
Ouratea quintasii
Chapmannia tinireana
Coffea sahafaryensis
Benthamia glaberrima
Ilex qianlingshanensis
Dichapetalum asplundeanum
Alnus maximowiczii
Tarenna nilagirica
Lafoensia replicata
Polypleurum longistylosum
Centropogon subandinus
Shorea dasyphylla
Aglaia mariannensis
Myristica tristis
Plantago almogravensis
Quercus rex
Parathesis tenuifolia
Hibiscus clayi
Steriphoma urbani
Aloe leachii
Arabis armena
Paphiopedilum emersonii
Gaertnera truncata
Paphiopedilum supardii
Corylus wangii
Phragmipedium tetzlaffianum
Hieracium hieronymi
Vatica perakensis
Rytigynia lebrunii
Leobordea adpressa
Mouriri panamensis
Pherosphaera hookeriana
Myristica alba
Protium asperum
Saintpaulia ionantha
Aegiphila hirsutissima
Eriosyce taltalensis
Jalcophila ecuadorensis
Crudia brevipes
Annona praetermissa
Trifolium gillettianum
Cephalanthera oblanceolata
Leptochloa ginae
Pancheria ajiearoana
Lecointea ovalifolia
Greigia van-hyningii
Turbinicarpus valdezianus
Euphorbia tetracanthoides
Cicer pinnatifidum
Pinus nelsonii
Sorbus futakiana
Galium sudeticum
Clusia skotaster
Dypsis corniculata
Nectandra herrerae
Curcuma coriacea
Widdringtonia nodiflora
Thelypteris palustris
Myrsine pearce
Tectona philippinensis
Glochidion raivavense
Abies coahuilensis
Nesaea petrensis
Ledermanniella abbayesii
Aristida anaclasta
Manniella cypripedioides
Geoffroea subtropicalis
Centropogon pilalensis
Dypsis ifanadianae
Cardamine lojanensis
Moringa arborea
Myrceugenia franciscensis
Charybdis anthericoides
Asplundia meraensis
Sedum bracteatum
Zanthoxylum thomasianum
Hyperbaena jalcomulcensis
Saurauia mahmudii
Strumaria chaplinii
Utricularia wightiana
Neraudia angulata
Draba hookeri
Raphionacme keayi
Paraboea acaulis
